threshold,TP,FP,FN,TN,TPR,FPR,Precision,IoU,Accuracy
0.00,90,101,0,1,1.00,0.99,0.47,0.47,0.47
5.00,90,101,0,1,1.00,0.99,0.47,0.47,0.47
10.00,90,99,0,3,1.00,0.97,0.48,0.48,0.48
15.00,90,99,0,3,1.00,0.97,0.48,0.48,0.48
20.00,90,96,0,6,1.00,0.94,0.48,0.48,0.50
25.00,90,92,0,10,1.00,0.90,0.49,0.49,0.52
30.00,90,92,0,10,1.00,0.90,0.49,0.49,0.52
35.00,90,87,0,15,1.00,0.85,0.51,0.51,0.55
40.00,90,81,0,21,1.00,0.79,0.53,0.53,0.58
45.00,90,81,0,21,1.00,0.79,0.53,0.53,0.58
50.00,90,74,0,28,1.00,0.73,0.55,0.55,0.61
55.00,90,74,0,28,1.00,0.73,0.55,0.55,0.61
60.00,90,66,0,36,1.00,0.65,0.58,0.58,0.66
65.00,90,57,0,45,1.00,0.56,0.61,0.61,0.70
70.00,90,57,0,45,1.00,0.56,0.61,0.61,0.70
75.00,90,47,0,55,1.00,0.46,0.66,0.66,0.76
80.00,90,47,0,55,1.00,0.46,0.66,0.66,0.76
85.00,90,36,0,66,1.00,0.35,0.71,0.71,0.81
90.00,90,24,0,78,1.00,0.24,0.79,0.79,0.88
95.00,90,24,0,78,1.00,0.24,0.79,0.79,0.88
100.00,90,12,0,90,1.00,0.12,0.88,0.88,0.94
105.00,90,12,0,90,1.00,0.12,0.88,0.88,0.94
110.00,90,0,0,102,1.00,0.00,1.00,1.00,1.00
115.00,78,0,12,102,0.87,0.00,1.00,0.87,0.94
120.00,78,0,12,102,0.87,0.00,1.00,0.87,0.94
125.00,66,0,24,102,0.73,0.00,1.00,0.73,0.88
130.00,66,0,24,102,0.73,0.00,1.00,0.73,0.88
135.00,55,0,35,102,0.61,0.00,1.00,0.61,0.82
140.00,45,0,45,102,0.50,0.00,1.00,0.50,0.77
145.00,45,0,45,102,0.50,0.00,1.00,0.50,0.77
150.00,36,0,54,102,0.40,0.00,1.00,0.40,0.72
155.00,28,0,62,102,0.31,0.00,1.00,0.31,0.68
160.00,28,0,62,102,0.31,0.00,1.00,0.31,0.68
165.00,21,0,69,102,0.23,0.00,1.00,0.23,0.64
170.00,21,0,69,102,0.23,0.00,1.00,0.23,0.64
175.00,15,0,75,102,0.17,0.00,1.00,0.17,0.61
180.00,10,0,80,102,0.11,0.00,1.00,0.11,0.58
185.00,10,0,80,102,0.11,0.00,1.00,0.11,0.58
190.00,6,0,84,102,0.07,0.00,1.00,0.07,0.56
195.00,6,0,84,102,0.07,0.00,1.00,0.07,0.56
200.00,3,0,87,102,0.03,0.00,1.00,0.03,0.55
205.00,1,0,89,102,0.01,0.00,1.00,0.01,0.54
210.00,1,0,89,102,0.01,0.00,1.00,0.01,0.54
215.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
220.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
225.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
230.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
235.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
240.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
245.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
250.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
255.00,0,0,90,102,0.00,0.00,0.00,0.00,0.53
